% WordBreakProperty-10.0.0.txt
% Date: 2017-03-10, 02:00:42 GMT
% © 2017 Unicode®, Inc.
% Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
% For terms of use, see http://www.unicode.org/terms_of_use.html
%
% Unicode Character Database
%   For documentation, see http://www.unicode.org/reports/tr44/

% ================================================

% Property:	Word_Break

%  All code points not explicitly listed for Word_Break
%  have the value Other (XX).

% @missing: 16#0000..16#10FFFF; Other

% ================================================

16#0022          ; Double_Quote % Po       QUOTATION MARK

% Total code points: 1

% ================================================

16#0027          ; Single_Quote % Po       APOSTROPHE

% Total code points: 1

% ================================================

16#05D0..16#05EA    ; Hebrew_Letter % Lo  [27] HEBREW LETTER ALEF..16#HEBREW LETTER TAV
16#05F0..16#05F2    ; Hebrew_Letter % Lo   [3] HEBREW LIGATURE YIDDISH DOUBLE VAV..16#HEBREW LIGATURE YIDDISH DOUBLE YOD
16#FB1D          ; Hebrew_Letter % Lo       HEBREW LETTER YOD WITH HIRIQ
16#FB1F..16#FB28    ; Hebrew_Letter % Lo  [10] HEBREW LIGATURE YIDDISH YOD YOD PATAH..16#HEBREW LETTER WIDE TAV
16#FB2A..16#FB36    ; Hebrew_Letter % Lo  [13] HEBREW LETTER SHIN WITH SHIN DOT..16#HEBREW LETTER ZAYIN WITH DAGESH
16#FB38..16#FB3C    ; Hebrew_Letter % Lo   [5] HEBREW LETTER TET WITH DAGESH..16#HEBREW LETTER LAMED WITH DAGESH
16#FB3E          ; Hebrew_Letter % Lo       HEBREW LETTER MEM WITH DAGESH
16#FB40..16#FB41    ; Hebrew_Letter % Lo   [2] HEBREW LETTER NUN WITH DAGESH..16#HEBREW LETTER SAMEKH WITH DAGESH
16#FB43..16#FB44    ; Hebrew_Letter % Lo   [2] HEBREW LETTER FINAL PE WITH DAGESH..16#HEBREW LETTER PE WITH DAGESH
16#FB46..16#FB4F    ; Hebrew_Letter % Lo  [10] HEBREW LETTER TSADI WITH DAGESH..16#HEBREW LIGATURE ALEF LAMED

% Total code points: 74

% ================================================

16#000D          ; CR % Cc       <control-000D>

% Total code points: 1

% ================================================

16#000A          ; LF % Cc       <control-000A>

% Total code points: 1

% ================================================

16#000B..16#000C    ; Newline % Cc   [2] <control-000B>..16#<control-000C>
16#0085          ; Newline % Cc       <control-0085>
16#2028          ; Newline % Zl       LINE SEPARATOR
16#2029          ; Newline % Zp       PARAGRAPH SEPARATOR

% Total code points: 5

% ================================================

16#0300..16#036F    ; Extend % Mn [112] COMBINING GRAVE ACCENT..16#COMBINING LATIN SMALL LETTER X
16#0483..16#0487    ; Extend % Mn   [5] COMBINING CYRILLIC TITLO..16#COMBINING CYRILLIC POKRYTIE
16#0488..16#0489    ; Extend % Me   [2] COMBINING CYRILLIC HUNDRED THOUSANDS SIGN..16#COMBINING CYRILLIC MILLIONS SIGN
16#0591..16#05BD    ; Extend % Mn  [45] HEBREW ACCENT ETNAHTA..16#HEBREW POINT METEG
16#05BF          ; Extend % Mn       HEBREW POINT RAFE
16#05C1..16#05C2    ; Extend % Mn   [2] HEBREW POINT SHIN DOT..16#HEBREW POINT SIN DOT
16#05C4..16#05C5    ; Extend % Mn   [2] HEBREW MARK UPPER DOT..16#HEBREW MARK LOWER DOT
16#05C7          ; Extend % Mn       HEBREW POINT QAMATS QATAN
16#0610..16#061A    ; Extend % Mn  [11] ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM..16#ARABIC SMALL KASRA
16#064B..16#065F    ; Extend % Mn  [21] ARABIC FATHATAN..16#ARABIC WAVY HAMZA BELOW
16#0670          ; Extend % Mn       ARABIC LETTER SUPERSCRIPT ALEF
16#06D6..16#06DC    ; Extend % Mn   [7] ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA..16#ARABIC SMALL HIGH SEEN
16#06DF..16#06E4    ; Extend % Mn   [6] ARABIC SMALL HIGH ROUNDED ZERO..16#ARABIC SMALL HIGH MADDA
16#06E7..16#06E8    ; Extend % Mn   [2] ARABIC SMALL HIGH YEH..16#ARABIC SMALL HIGH NOON
16#06EA..16#06ED    ; Extend % Mn   [4] ARABIC EMPTY CENTRE LOW STOP..16#ARABIC SMALL LOW MEEM
16#0711          ; Extend % Mn       SYRIAC LETTER SUPERSCRIPT ALAPH
16#0730..16#074A    ; Extend % Mn  [27] SYRIAC PTHAHA ABOVE..16#SYRIAC BARREKH
16#07A6..16#07B0    ; Extend % Mn  [11] THAANA ABAFILI..16#THAANA SUKUN
16#07EB..16#07F3    ; Extend % Mn   [9] NKO COMBINING SHORT HIGH TONE..16#NKO COMBINING DOUBLE DOT ABOVE
16#0816..16#0819    ; Extend % Mn   [4] SAMARITAN MARK IN..16#SAMARITAN MARK DAGESH
16#081B..16#0823    ; Extend % Mn   [9] SAMARITAN MARK EPENTHETIC YUT..16#SAMARITAN VOWEL SIGN A
16#0825..16#0827    ; Extend % Mn   [3] SAMARITAN VOWEL SIGN SHORT A..16#SAMARITAN VOWEL SIGN U
16#0829..16#082D    ; Extend % Mn   [5] SAMARITAN VOWEL SIGN LONG I..16#SAMARITAN MARK NEQUDAA
16#0859..16#085B    ; Extend % Mn   [3] MANDAIC AFFRICATION MARK..16#MANDAIC GEMINATION MARK
16#08D4..16#08E1    ; Extend % Mn  [14] ARABIC SMALL HIGH WORD AR-RUB..16#ARABIC SMALL HIGH SIGN SAFHA
16#08E3..16#0902    ; Extend % Mn  [32] ARABIC TURNED DAMMA BELOW..16#DEVANAGARI SIGN ANUSVARA
16#0903          ; Extend % Mc       DEVANAGARI SIGN VISARGA
16#093A          ; Extend % Mn       DEVANAGARI VOWEL SIGN OE
16#093B          ; Extend % Mc       DEVANAGARI VOWEL SIGN OOE
16#093C          ; Extend % Mn       DEVANAGARI SIGN NUKTA
16#093E..16#0940    ; Extend % Mc   [3] DEVANAGARI VOWEL SIGN AA..16#DEVANAGARI VOWEL SIGN II
